0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"0.0,0.0,0.0","-0.12084929954312812,-0.040895119813988474,-0.04537835194785322","-0.23768936908060354,-0.16153834288147031,-0.07706707202578754","-0.2901949984139848,-0.29002326801761286,-0.11370737281388804","-0.21859072629937928,-0.36428097321193825,-0.14427215515416528","-0.1751636283393145,-0.43922581167791014,-0.01015621860093563","-0.223400976730143,-0.5702468428402266,-0.08509421116960608","-0.22651625608694695,-0.490082088304565,-0.1435306714612325","-0.21503180567515293,-0.3981231335851634,-0.17259671579680944","-0.0932722027274044,-0.5001658643247487,-0.025704213883009138","-0.1302452013901094,-0.7123447756369997,-0.06398570092273885","-0.1544435754243329,-0.8474001745363331,-0.09872574136913652","-0.1768760635213799,-0.9763981210784631,-0.12394178999686767","-0.0003531983560511926,-0.4975718092125879,-0.056622402957900185","-0.015500613139149267,-0.699309671190046,-0.10438839242488107","-0.028027247432530954,-0.8331006157409929,-0.1418986902499173","-0.04482464998083192,-0.957403998338174,-0.16564649029501588","0.09537519887255907,-0.4436310006437029,-0.09253573378533449","0.14942439075477834,-0.5909028077706145,-0.12681564128949638","0.18925038962346472,-0.6937943470856728,-0.14148571701475915","0.22076717754165698,-0.7937010586393219,-0.15139305262153646"
"0.0,0.0,0.0","-0.11093848342935012,-0.045554739295038026,-0.05286390142393658","-0.21163974655906848,-0.17358182569983824,-0.09060015069817293","-0.22578176680292017,-0.31515042652092295,-0.13224057213962873","-0.13895672448510335,-0.39109821301138087,-0.16692467089182916","-0.1667260148335648,-0.4589984653799222,-0.016806494918700746","-0.20386503217104304,-0.6132845051740653,-0.09585157956047995","-0.18754088607464336,-0.5243239410081242,-0.16036768187778982","-0.1584587992632181,-0.42390905219527525,-0.19356049299017697","-0.08634852582299195,-0.5157597666656739,-0.03045876641111236","-0.11256060519629815,-0.7305749577996168,-0.0660446938256805","-0.1269995302099308,-0.859775460672691,-0.10247811006547698","-0.13987184784427178,-0.9814670485896898,-0.13098968933955213","0.003263360356104589,-0.5065940604515266,-0.06070931835285611","-0.0042679115615366185,-0.7146888785443345,-0.10396460499915748","-0.009711993709800987,-0.8469366784806989,-0.14241185560333788","-0.019108505850838727,-0.9719376907349997,-0.16960180903470037","0.09794876474562685,-0.4481134332181056,-0.09728156106353554","0.1505059852151822,-0.5955651550703792,-0.12919930983589167","0.18987454244447133,-0.6959013624991666,-0.14502741759783827","0.2224151540059605,-0.7921155726421444,-0.15726584246865047"
"0.0,0.0,0.0","-0.1250088357062452,-0.04859147986795161,-0.04840393791100686","-0.24649490633696755,-0.17503438311390843,-0.07926220916054263","-0.3034430606539436,-0.31744245502193846,-0.11488573731933444","-0.2289064636666182,-0.3941015562075895,-0.14351476399021199","-0.1747305665173441,-0.44632132227471566,-0.004097446022142565","-0.22476930406546378,-0.5839562259602536,-0.07974362157682433","-0.22453964044339836,-0.507204461266858,-0.13838977093934718","-0.2059597204084857,-0.4144876387529057,-0.16776910461779712","-0.09196764470432871,-0.5090354522769444,-0.018178182043142067","-0.12930039753980174,-0.7203049246890122,-0.05808227967447713","-0.1568863016270493,-0.8535686823321891,-0.09375490369745744","-0.18038015861033382,-0.9762548340614164,-0.11995623098208422","0.00042230617763960984,-0.5083235172168448,-0.04897206649491657","-0.01739967956785057,-0.7106668114684151,-0.09949853788955246","-0.034296471175609036,-0.8419378049082604,-0.1369823607843396","-0.05314063738571667,-0.9613386695109394,-0.16033331534255277","0.09644431187034146,-0.45663645547773335,-0.08526164478979878","0.14949095565011628,-0.6045358377932756,-0.12213893597902684","0.187633738287739,-0.7091846387105681,-0.13919737608332472","0.2174123092532193,-0.8095588365463197,-0.15079775823504263"
"0.0,0.0,0.0","-0.12303140967969282,-0.05006312457312568,-0.048219554580821396","-0.24008161551621027,-0.17373243825274454,-0.07976088105151734","-0.292650909560548,-0.3110206167238762,-0.11558732282163017","-0.22309458455306722,-0.40034017717500725,-0.14411424647290008","-0.17154593690861114,-0.446885134489128,-0.006718152723747683","-0.2215561231618811,-0.5832166222204742,-0.08271473325756525","-0.22066707889117243,-0.5062387413934738,-0.14116819592090998","-0.2028229539440182,-0.41573536773349895,-0.1697993298391799","-0.08817585036076277,-0.507845510294151,-0.020796034769233595","-0.12533910176647192,-0.7172255444557165,-0.061926430706261804","-0.1502566896682466,-0.8508978869466111,-0.0984717814704191","-0.17135037911934192,-0.9773020349941339,-0.12457840893181414","0.004664962204640567,-0.5049761542019102,-0.05119414692987208","-0.011754069782402536,-0.7027916719199113,-0.10315908133239733","-0.025943192104764586,-0.8372523601917162,-0.14267841160605443","-0.042327519470050055,-0.9620226917682714,-0.16686380084711952","0.10033502774380919,-0.45067950646796273,-0.08659375283863543","0.15440515896241164,-0.5981754710187401,-0.12331605585873077","0.19410427157128107,-0.7019793083372767,-0.13974826733903659","0.22629881270191857,-0.8019424457612672,-0.15058500582966292"
"0.0,0.0,0.0","-0.123563775353653,-0.0480929472167786,-0.04829945074219775","-0.23993425509153507,-0.17407679928007525,-0.07968827205466505","-0.2939159409325202,-0.3122742574511643,-0.11535400270965064","-0.22449724711366917,-0.40269801162247026,-0.14354546958463768","-0.17086804974124079,-0.4485351658434972,-0.006776784982755527","-0.2198792097156642,-0.5878979283581253,-0.0811195592236646","-0.22166385256032503,-0.5086351989993547,-0.13788209380511304","-0.20675860210367497,-0.4163233476446397,-0.16576917098639188","-0.08723343104902963,-0.509139927409535,-0.020897346993256773","-0.12461430310248647,-0.7187162172114758,-0.0606588204889567","-0.15057712403292364,-0.8516336745198337,-0.09633540857689166","-0.17305491017866348,-0.9772909016992608,-0.12228855841369854","0.005628715245968723,-0.506149630809173,-0.051332753877290076","-0.011466892227149701,-0.7042135728563705,-0.10253200572322468","-0.02659908731424038,-0.8382162461977452,-0.14219964741020885","-0.044182661818621696,-0.9625836242181014,-0.16709304241458953","0.10101028549651161,-0.4524643216682498,-0.08674370255377797","0.15553471810714184,-0.5994266489830032,-0.12393602990738506","0.19582796299937127,-0.7039946204066057,-0.14156288151511343","0.22817176318188923,-0.8044329099722489,-0.15360987285631678"
"0.0,0.0,0.0","-0.12391792568182952,-0.049704318164747144,-0.043796395148936955","-0.24261069742565922,-0.17898328925906612,-0.07145613767044434","-0.2977490213890371,-0.31825309413599684,-0.10411355643056257","-0.22555284569720435,-0.40210540789230537,-0.1297345961985344","-0.1711014735266034,-0.4476957301448471,-0.0007669515819643492","-0.22300915126799034,-0.5868854108514988,-0.07231976628951811","-0.22698119404220493,-0.5152903317548538,-0.12748438271833223","-0.21154158604443243,-0.42609185121464965,-0.1548512504571779","-0.08818816655265638,-0.5078510174579759,-0.015974477297821123","-0.1258312071069229,-0.7179031976741415,-0.054838066517252586","-0.15302537254201734,-0.8528621678931746,-0.08959014820622843","-0.17590980543985074,-0.9776876899192232,-0.11481516158820915","0.0039286192211335485,-0.5051531363517051,-0.04707119852305761","-0.012715386208287598,-0.7053094855841316,-0.09660531826437475","-0.027871308354205822,-0.8390550209822962,-0.1342518580516624","-0.04483415728378798,-0.9625052066659635,-0.1578220855156043","0.0984276387508793,-0.4513600608373301,-0.08292792539369113","0.1521022362968225,-0.5968819756614208,-0.11875320394078541","0.1905841008675859,-0.7015093736292227,-0.13536301607745682","0.22182371031129078,-0.8030764030133846,-0.1468042819473245"
