0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"0.0,0.0,0.0","-0.4859103670323617,-0.38990099056612526,0.0724237354268757","-0.7931349787881165,-0.5487688905617746,-0.18390678177593117","-1.0817545532779695,-0.5414617583234944,-0.4665684766613745","-1.455239386782742,-0.5894997820139041,-0.7649047813607229","-0.4090068004793381,-1.164392559273058,-0.5562967862647609","-0.9079212553222903,-1.1615827506173608,-0.862416253532511","-1.2119112906176612,-1.2024032774102071,-1.0021867885974614","-1.4728573981976416,-1.2207266671013932,-1.0805311876934143","-0.24796720655934343,-0.9547624620171438,-0.7391764754232019","-0.8747573645177261,-0.844368465335688,-0.888179228345615","-0.7567711803987515,-0.5719940740506796,-0.6999639029325058","-0.5725884822935827,-0.5723555785653066,-0.5869851119320699","-0.15412656086569307,-0.678285290806295,-0.9172499694675563","-0.74497605850593,-0.5565711654590233,-1.0052962459748114","-0.6353972248734404,-0.34018434140410747,-0.7214522350177336","-0.4524039358844296,-0.3686430435301781,-0.5671297727813579","-0.10071337988402626,-0.42945165867255036,-1.0955895545398902","-0.5501879439392735,-0.2995524192207365,-1.1540958748441288","-0.5096849188574294,-0.19084060379299994,-0.990013568540161","-0.36331885244917983,-0.19833826668939908,-0.8897679962401244"
"0.0,0.0,0.0","-0.49061913921322736,-0.34158538813886513,0.09384366880826152","-0.8009035283820444,-0.4987944069868737,-0.13158197770757712","-1.089898477269771,-0.5339913121755075,-0.39373777557494477","-1.4504010975961577,-0.5927559958724314,-0.6712296778969606","-0.41346424434323303,-1.1822461793351728,-0.43629334205266784","-0.9258992313234636,-1.1957323035189975,-0.7548160390524478","-1.2169044064671266,-1.2438545678073951,-0.9187878295966635","-1.4724681852996193,-1.2776570760104713,-1.010973483436871","-0.2503141218940158,-1.0257519212343535,-0.6285922820504337","-0.8804260298815697,-0.9084578420349668,-0.8164070953434613","-0.7691663106212223,-0.5880855098741663,-0.6733633000801746","-0.5870596901580284,-0.5695928394351898,-0.5752607386704901","-0.14808799683248036,-0.7693353377335405,-0.8207135288452772","-0.7559417029768735,-0.6073052116310994,-0.956817856193309","-0.6472787432551346,-0.36437367863916886,-0.712024264087456","-0.4608458263036955,-0.37693997016185743,-0.5637808144615687","-0.09109119561884066,-0.5101471390606863,-1.0087162352531776","-0.5618682083729688,-0.3497943999821213,-1.096723836438221","-0.5112290966380841,-0.20431236561632485,-0.9475305679438852","-0.35667389548275147,-0.2014346100071475,-0.8442935012332671"
"0.0,0.0,0.0","-0.5710166217377071,-0.3569503270258678,0.1538490889782932","-0.8989859466578946,-0.4897741029579198,-0.10522373950524203","-1.2005271723745499,-0.5100389233658752,-0.4143857407344208","-1.6047124116748432,-0.5673532211750871,-0.7446865989528615","-0.5369992828563546,-1.2130663320412272,-0.46721815355016266","-1.0436513393774185,-1.2377806940724418,-0.7831960166525365","-1.3822155301607344,-1.2757097769037666,-0.9326051875694562","-1.6647198928401403,-1.2658080911306062,-1.0095918054482849","-0.35555490566828507,-1.0122417738628522,-0.7079216257497509","-0.9737953649077385,-0.9219392520335258,-0.8472228852022562","-0.8393889032800732,-0.5795143283743962,-0.637871800808288","-0.6422804347343374,-0.5750384422161274,-0.5067609230506234","-0.23034486815361663,-0.7481995606384783,-0.9448561514470946","-0.8151019267945252,-0.631120084266224,-1.027683872916286","-0.689117326390655,-0.3429615467353139,-0.7337531135250862","-0.49593469696011966,-0.37293726478709227,-0.576799421520028","-0.14565507467804042,-0.5186591237003801,-1.1746872172682294","-0.5873287550966942,-0.358106801772917,-1.1825303377197418","-0.521190548255514,-0.17483542269194688,-0.9749087217092833","-0.3532627633228569,-0.16229005444058575,-0.8569671749637028"
"0.0,0.0,0.0","-0.4402762905215364,-0.23542846357990918,-0.049016315125686036","-0.7757598229235579,-0.5463203861787707,-0.14912693375430433","-1.063239871673902,-0.6772520243623537,-0.2666482945417758","-1.334210377723744,-0.7578333064051717,-0.3808481139731005","-0.5036584420852073,-1.337007602659179,-0.062188096637179585","-0.9292219901476576,-1.3802737043163862,-0.25076017598838996","-1.1933095251341788,-1.4128516563589923,-0.39241718585417107","-1.4339913323308158,-1.4362374094583186,-0.4953359722835567","-0.30546648934040405,-1.3720173964514768,-0.1442257496940423","-0.8379204453338803,-1.2012112054159525,-0.3347835581687316","-0.7436165508777849,-0.7934905874744769,-0.36559125326064396","-0.5792942980488207,-0.7284741989202381,-0.3657095264764666","-0.1376419049993109,-1.2476542047806605,-0.24901398469853167","-0.6520310581551538,-1.001203553299436,-0.4026158018986375","-0.5759993960155622,-0.6581666684886774,-0.31602384737044886","-0.42304397132577,-0.659836552619318,-0.24571128485338223","-0.026345694937075486,-1.0190331157428838,-0.3680859768727263","-0.437127664683748,-0.8134511420975208,-0.47166181538286744","-0.4257107461667155,-0.5714940277344949,-0.41613666993728016","-0.30619848492361823,-0.5694716671412404,-0.3641725124509026"
"0.0,0.0,0.0","-0.44619924908255837,-0.2757554848089476,-0.05158815148194906","-0.7790773648830194,-0.5535409009696469,-0.17069768887255765","-1.0735705403210405,-0.666055057001319,-0.30385203866549493","-1.3543216127439883,-0.7526109492464638,-0.4367291201142827","-0.4340440427460113,-1.33907021845288,-0.13185912114546036","-0.8505992174317725,-1.447002087673091,-0.32520328077688393","-1.1155871756491014,-1.5502220304056489,-0.47135696291148227","-1.345196287830372,-1.6239553395866932,-0.578988520037762","-0.2448301779242791,-1.3368193644419293,-0.21308365604188034","-0.8025944778862037,-1.1420617681000955,-0.39834020284663857","-0.7408851000026265,-0.7744275821851004,-0.4248089228581723","-0.5866590808174279,-0.6853915877860138,-0.43135773354214646","-0.1002670720347044,-1.1708099609731155,-0.311607245401557","-0.6352623631799111,-0.882175547415117,-0.4495652692568837","-0.5715420836218215,-0.5967760303184311,-0.36285576440230594","-0.4220838906011662,-0.5833404835101333,-0.3031056999276004","-0.01713087225718743,-0.9071326717756374,-0.4242863500808611","-0.43905003721475167,-0.6744994762762195,-0.5215655769523173","-0.4264642844306674,-0.4700782232919947,-0.46800443182426704","-0.304452832763094,-0.4592500396041759,-0.42185148057770083"
